predicate name	description	comments
filtering_out1	"Query SV is ordinary_intergenic; OR
When compared using identical_variants the query matches an SV that is common_gnomad; OR
common_1kg; OR
common_internal; OR
clinvar_benign"	filter_identical provides strong evidence that the query SV is not pathogenic, because an identical SV(s) that is common/benign was identified (tier 1)
filtering_out2	"Query SV is ordinary_intergenic; OR
When compared using equivalent_variants the query matches an SV that is common_gnomad; OR
common_1kg; OR
common_internal; OR
clinvar_benign"	filter_equivalent provides strong+moderate evidence that the query SV is not pathogenic, because an equivalent SV(s) that is common/benign was identified (tier 2)
filtering_out3	"Query SV is ordinary_intergenic; OR
When compared using related_variants the query matches an SV that is common_gnomad; OR
common_1kg; OR
common_internal; OR
clinvar_benign"	filter_related provides strong+moderate+some evidence that the query SV is not pathogenic, because a related SV(s) that is common/benign was identified (tier 3)
		
prioritise_clinvar_path	When compared using identical_variants the query matches a variant that is clinvar_pathogenic	
prioritise_clinvar_path_equivalent	When compared using equivalent_variants the query matches a variant that is clinvar_pathogenic	
prioritise_clinvar_path_related	When compared using related_variants the query matches a variant that is clinvar_pathogenic	
prioritise_lof_high	Query SV is lof_strong in a gene that is highly constrained (LOEUF top 20%)	
prioritise_lof_mod	Query SV is lof_moderate or lof_strong in a gene that is moderately constrained (LOEUF top 50%)	
prioritise_lof_mendeliome	Query SV is lof_moderate or lof_strong in a gene that is green on the mendeliome panel in panelApp	
prioritise_lof_my_panel	Query SV is lof_moderate or lof_strong in a gene on the <user provided panel> in panelApp	
prioritise_lof_any	Query SV is lof_moderate or lof_strong in any gene	
prioritise_str_path	"Query SV type is INS; AND
SV classification is ‘tandem repeat’ with STR or VNTR subclass; AND
Left breakpoint is within or adjacent to (within 50bp) a genomic tandem repeat element that is a known pathogenic STR site; AND
SV length is >50% size of the underlying STR site"	
prioritise_str_novel	"Query SV type is INS; AND
SV classification is ‘tandem repeat’ with STR or VNTR subclass; AND
Query SV is within a gene (any part of the gene including the promoter and UTR - i.e. nonintergenic OR affects_only_promoter); AND
""SV length is >50% larger than the genomic tandem repeat element the SV breakpoint is within or adjacent to (within 50bp); OR SV breakpoint is not within or adjacent to a genomic tandem repeat element""f"	
interesting_gene		Mendeliome and OMIM, for now
		
homozygous	SV has genotype "1/1"	
denovo	Proband's SV has no identical_variants among their parents' SVs, but data from both parents is available	
possible_denovo	like denovo but not denovo because only one parent is available	
recessive	"Proband's SV is
homozygous, AND
identical_variants with an SV from their mother, AND 
identical_variants with an SV from their father."	
		
keeping0	"prioritise_clinvar_path
prioritise_str_path"	
keeping1	"prioritise_clinvar_path
OR
prioritise_lof_high
OR
prioritise_str_path
OR
prioritise_lof_my_panel
OR
affects_noncoding_rna1"	prioritse_tier1 (Strong evidence of pathogenicity)
keeping2	"prioritise_clinvar_path_equivalent
OR
prioritise_lof_mod
OR
prioritise_lof_mendeliome
OR
prioritise_str_path
OR
prioritise_str_novel
OR
affects_noncoding_rna2"	prioritse_tier2 (Moderate evidence of pathogenicity)
keeping3	"prioritise_clinvar_path_related
OR
prioritise_lof_any
OR
prioritise_str_path
OR
prioritise_str_novel
OR
affects_noncoding_rna2"	prioritse_tier3 (Some evidence of pathogenicity)
		
prioritised1	keeping1 AND NOT filtering_out1	tier 1 prioritisation
prioritised2	keeping2 AND NOT filtering_out2	tier 2 prioritisation
prioritised3	keeping3 AND NOT filtering_out3	tier 3 prioritisation
